Protein,1-2,1-3,2-3
T1029,0.49400299850074963,0.46926536731634183,0.48125937031484256
T1027,0.4160419790104948,0.3823088455772114,0.39205397301349326
T1030,0.24887556221889057,0.2151424287856072,0.22563718140929534
T1032,0.431784107946027,0.4332833583208396,0.42203898050974514
T1040,0.4077961019490255,0.4002998500749625,0.4032983508245877
T1099,0.3230884557721139,0.30134932533733133,0.32533733133433285
T1039,0.32083958020989506,0.3193403298350825,0.3313343328335832
T1073,0.4302848575712144,0.4077961019490255,0.404047976011994
T1043,0.32983508245877063,0.31334332833583206,0.29985007496251875
T1080,0.4572713643178411,0.4490254872563718,0.4490254872563718
T1050,0.30359820089955025,0.3103448275862069,0.28785607196401797
T1038,0.46326836581709147,0.4235382308845577,0.42653673163418293
T1033,0.512743628185907,0.48875562218890556,0.5067466266866567
T1031,0.37106446776611696,0.3523238380809595,0.36731634182908546
T1042,0.30884557721139433,0.3103448275862069,0.3148425787106447
T1067,0.3875562218890555,0.3733133433283358,0.37631184407796103
T1090,0.4077961019490255,0.4002998500749625,0.39655172413793105
T1041,0.44002998500749624,0.43103448275862066,0.42128935532233885
T1037,0.3073463268365817,0.29535232383808097,0.2901049475262369
T1074,0.46776611694152925,0.4715142428785607,0.46326836581709147
T1079,0.37181409295352325,0.37106446776611696,0.35907046476761617
T1054,0.3605697151424288,0.35007496251874065,0.3448275862068966
T1049,0.5494752623688156,0.5232383808095952,0.5464767616191905
T1026,0.4505247376311844,0.43478260869565216,0.42653673163418293
T1082,0.39430284857571213,0.35907046476761617,0.37106446776611696
T1046s2,0.5637181409295352,0.5577211394302849,0.5464767616191905
T1035,0.42128935532233885,0.4002998500749625,0.41829085457271364
T1046s1,0.52023988005997,0.4947526236881559,0.5172413793103449
T1056,0.44302848575712145,0.4370314842578711,0.41829085457271364
