GDT_TS,1-2,1-3,2-3
45.20,0.11080516360494475,0.0968023784133969,0.11077091864956579
61.11,0.10560990374504131,0.1063295654886165,0.10064677193872074
63.55,0.1164583661658587,0.13751691292190493,0.1567024166557487
69.12,0.12417702259569774,0.12008378342597803,0.11499091638165249
72.11,0.1089538718453984,0.10846744550878684,0.10846744550878684
80.34,0.10771374544071133,0.11054951572110427,0.1155102158424568
82.30,0.11375409282468141,0.11012911297008277,0.11075181900356013
83.90,0.10771374544071133,0.10508732428602485,0.1040617595519504
84.12,0.10055414004950025,0.10065106192586493,0.09955201792471424
85.90,0.10070600583634892,0.10498666722977745,0.10685986418508353
86.28,0.10508732428602485,0.1072590729806171,0.10837083368487566
87.37,0.10941664009038554,0.10865497123452905,0.10865497123452905
87.50,0.10685986418508353,0.1044107140412125,0.10158959447082871
87.63,0.10085407428856419,0.10055414004950025,0.0995006350510983
89.49,0.10038044244845024,0.10038044244845024,0.10055414004950025
90.39,0.10271270205797656,0.10362406769788812,0.1052441209767423
90.48,0.104849476735414,0.1049629912680996,0.10610031996067626
90.70,0.104849476735414,0.10498666722977745,0.10460093417077587
90.72,0.10610031996067626,0.10727747211113403,0.10827314463576077
91.10,0.10783041046495612,0.10846744550878684,0.10943095876480724
92.18,0.11036293660545482,0.11291430453727092,0.1143504241997193
92.66,0.11153309265303202,0.10980560235715098,0.10837083368487566
93.28,0.10814954689157341,0.10846744550878684,0.10857508089849377
93.84,0.10722807643061083,0.10666944416532154,0.10566010764329059
96.00,0.10460093417077587,0.1040364498631896,0.10412540067421583
96.45,0.10396276901308887,0.10336741980131103,0.10243672762290723
96.81,0.10146402576925917,0.10070600583634892,0.10065106192586493
97.57,0.10007249942512741,0.10085407428856419,0.10139410238305091
98.08,0.10122853003090437,0.10269771045044918,0.10294659341343104
